Player,#,Pos,HT,WT,Age,Exp,College
Montravius Adams,57,DT,6-4,304,29,8,Auburn
Kyle Allen,4,QB,6-3,210,28,6,Houston
Calvin Anderson,67,OT,6-5,300,28,6,Texas
Spencer Anderson,74,OL,6-5,305,24,2,Maryland
Calvin Austin III,19,WR,5-9,162,25,3,Memphis
Keeanu Benton,95,DL,6-4,309,23,2,Wisconsin
Beanie Bishop Jr.,31,CB,5-9,182,24,R,West Virginia
Chris Boswell,9,K,6-2,185,33,10,Rice
Terrell Edmunds,38,S,6-1,217,27,7,Virginia Tech
DeShon Elliott,25,S,6-0,210,27,7,Texas
Justin Fields,2,QB,6-3,227,25,4,Ohio State
Minkah Fitzpatrick,39,S,6-1,207,27,7,Alabama
Zach Frazier,54,C,6-3,310,23,R,West Virginia
Pat Freiermuth,88,TE,6-5,258,25,4,Penn State
Najee Harris,22,RB,6-1,242,26,4,Alabama
Nick Herbig,51,LB,6-2,240,22,2,Wisconsin
Cameron Heyward,97,DT,6-5,295,35,14,Ohio State
Connor Heyward,83,TE/FB,6-0,230,25,3,Michigan State
Alex Highsmith,56,LB,6-4,242,27,5,Charlotte
Donte Jackson,26,CB,5-10,180,28,6,LSU
Van Jefferson,11,WR,6-1,200,28,5,Florida
Brandon Johnson,89,WR,6-2,195,26,3,UCF
Broderick Jones,77,OT,6-5,311,23,2,Georgia
Damontae Kazee,23,S,5-11,174,31,8,San Diego State
Miles Killebrew,28,S,6-2,222,31,9,Southern Utah State
Christian Kuntz,46,LS,6-1,228,30,4,Duquesne
Isaiahh Loudermilk,92,DT,6-7,293,27,4,Wisconsin
Dean Lowry,94,DT,6-6,296,30,9,Northwestern
Ryan McCollum,62,C,6-5,300,26,2,Texas A&M
Mason McCormick,66,G,6-5,315,24,R,South Dakota State
Scotty Miller,13,WR,5-9,174,27,6,Bowling Green
Jeremiah Moon,49,LB,6-5,247,26,2,Florida
Dan Moore Jr.,65,OT,6-5,315,26,4,Texas A&M
Ade Ogundeji,48,LB,6-4,268,26,4,Notre Dame
Larry Ogunjobi,99,DT,6-3,305,30,8,Charlotte
Cordarrelle Patterson,84,RB/KR,6-2,220,33,12,Tennessee
George Pickens,14,WR,6-3,200,23,3,Georgia
James Pierre,42,CB,6-2,185,28,5,Florida Atlantic
Joey Porter Jr.,24,CB,6-2,193,24,2,Penn State
MyCole Pruitt,81,TE,6-2,258,32,9,Southern Illinois
Patrick Queen,6,LB,6-0,232,25,5,LSU
Elandon Roberts,50,LB,6-1,238,30,9,Houston
Mark Robinson,93,LB,5-11,235,25,3,Mississippi
Max Scharping,64,G,6-6,327,28,6,Northern Illinois
Isaac Seumalo,73,G,6-4,303,30,9,Oregon State
Aaron Shampklin,33,RB,5-10,195,25,1,Harvard
Corliss Waitman,8,P,6-2,210,29,2,South Alabama
Jonathan Ward,35,RB,6-0,202,27,5,Central Michigan
Jaylen Warren,30,RB,5-8,215,25,3,Oklahoma State
Darnell Washington,80,TE,6-7,264,23,2,Georgia
T.J. Watt,90,LB,6-4,252,30,8,Wisconsin
Rodney Williams,87,TE,6-4,235,24,2,Tennessee-Martin
Payton Wilson,41,LB,6-4,242,24,R,N.C. State
Roman Wilson,10,WR,5-10,186,23,R,Michigan
Russell Wilson,3,QB,5-11,206,35,13,Wisconsin
